subject, type, classifier, precision, precision std, recall, recall std, f1, f1 std ,
122310el,3000, GNB,0.317240423,0.013339683,0.295138889,0.009247203,0.259670626,0.011933591,0.30579082
122310el,3000, NN,0.327277641,0.012039519,0.350694444,0.006546586,0.316637185,0.007312907,0.338581641
122310el, shuffle, SVM (linear),0.464904002,0.002228653,0.448611111,0.001554784,0.451692819,0.00173279,0.456612262
122310el, shuffle, SVM (rbf),0.367064083,0.001547694,0.351388889,0.000831404,0.340147852,0.000767697,0.359055486
122310el, shuffle, GNB,0.368343315,0.000925135,0.347916667,0.00068914,0.348404408,0.000692679,0.357838722
122310el, shuffle, NN,0.330583953,0.013724296,0.327777778,0.008196373,0.305174404,0.015006165,0.329174885
122310el, evenEpoch, SVM (linear),0.342540385,6.68E-05,0.350694444,0.000108507,0.332062459,5.64E-06,0.346569459
122310el, evenEpoch, SVM (rbf),0.310533391,0.000619597,0.270833333,0.000771605,0.253607975,0.000838163,0.289327854
122310el, evenEpoch, GNB,0.306362655,0.000429805,0.243055556,4.82E-05,0.241116568,0.000375977,0.271061803
122310el, evenEpoch, NN,0.138888889,0.012345679,0.170138889,1.21E-05,0.060311581,0.0001611,0.152933833
122310el, unfiltered, SVM (linear),0.386200547,0.003886285,0.392361111,0.000663098,0.367791158,0.001199921,0.389256456
122310el, unfiltered, SVM (rbf),0.179119911,0.014165089,0.229166667,0.003231096,0.163148803,0.008380801,0.201075985
122310el, unfiltered, GNB,0.268681284,0.020353016,0.288194444,0.016770351,0.25570522,0.018714109,0.278095989
122310el, unfiltered, NN,0.222751472,0.005449503,0.270833333,0.006510417,0.219512461,0.005520874,0.24445049
122310el, unrolled, SVM (linear),0.416666667,0.052083333,0.5,0.055555556,0.440972222,0.052746431,0.454545455
122310el, unrolled, SVM (rbf),0.191666667,0.039839892,0.3125,0.044704861,0.220535714,0.042669822,0.237603306
122310el, unrolled, GNB,0.189930556,0.034112534,0.3125,0.044704861,0.219146825,0.038056727,0.236264686
122310el, unrolled, NN,0.279166667,0.014820602,0.395833333,0.020399306,0.309027778,0.0166739,0.327417695
122310el, untimed, SVM (linear),0.368278018,0.003784222,0.375,0.001736111,0.356841014,0.002445882,0.371608613
122310el, untimed, SVM (rbf),0.108116646,0.004650765,0.201388889,0.001109182,0.104557828,0.002483787,0.140698558
122310el, untimed, GNB,0.258665568,0.024970612,0.256944444,0.016927083,0.229998785,0.019427421,0.257802134
122310el, untimed, NN,0.136708604,0.009508833,0.215277778,0.007474923,0.157966679,0.008056511,0.167224222
122310el, cortex, SVM (linear),0.300605471,0.0070323,0.288194444,0.005582079,0.282250043,0.006041727,0.294269155
122310el, cortex, SVM (rbf),0.159032186,0.007626571,0.211805556,0.002688561,0.13956791,0.003650478,0.181663821
122310el, cortex, GNB,0.17793645,0.01498872,0.194444444,0.009259259,0.135750302,0.009131366,0.18582454
122310el, cortex, NN,0.295207546,0.012024268,0.291666667,0.005979938,0.277588487,0.008103095,0.293426425
021911ar,1000, SVM (linear),0.51101942,0.00293343,0.489583333,0.001724055,0.480276318,0.001894184,0.500071762
021911ar,1000, SVM (rbf),0.384223936,0.006140714,0.371527778,0.001338252,0.34931234,0.002613161,0.377769213
021911ar,1000, GNB,0.321362145,0.006501261,0.295138889,0.00249566,0.28102993,0.002880764,0.307692806
021911ar,1000, NN,0.397001263,0.004859847,0.416666667,0.002121914,0.38895236,0.002934857,0.40659632
021911ar,2000, SVM (linear),0.591595268,0.006870731,0.5625,0.006124614,0.560557855,0.006056621,0.576680882
021911ar,2000, SVM (rbf),0.43145668,0.006231666,0.413194444,0.002206308,0.394577471,0.002615318,0.422128138
021911ar,2000, GNB,0.317154431,0.005815978,0.315972222,0.003074363,0.296965881,0.003349395,0.316562223
021911ar,2000, NN,0.398369329,0.029525554,0.434027778,0.022557388,0.384068763,0.025382517,0.41543478
021911ar,3000, SVM (linear),0.557193212,0.005971812,0.524305556,0.004521123,0.521573943,0.00459573,0.540249338
021911ar,3000, SVM (rbf),0.369147577,0.012693233,0.378472222,0.00403887,0.349196956,0.006468337,0.373751749
021911ar,3000, GNB,0.351312229,0.004348906,0.326388889,0.001494985,0.308912751,0.002319547,0.338392265
021911ar,3000, NN,0.34801116,0.021350542,0.368055556,0.017698688,0.332485306,0.019829065,0.357752813
021911ar, shuffle, SVM (linear),0.470761156,0.002182374,0.463888889,0.002380401,0.458755058,0.00220159,0.467299757
021911ar, shuffle, SVM (rbf),0.397908004,0.001236841,0.382638889,0.001624711,0.375961724,0.001297215,0.390124099
021911ar, shuffle, GNB,0.332123546,0.001575192,0.324305556,0.001659433,0.321203113,0.001599188,0.328167995
021911ar, shuffle, NN,0.335128561,0.011286558,0.356944444,0.004650849,0.330738912,0.007978507,0.345692657
021911ar, evenEpoch, SVM (linear),0.350893426,0.000123398,0.354166667,4.82E-05,0.346352476,1.91E-05,0.352522448
021911ar, evenEpoch, SVM (rbf),0.221744506,0.000160591,0.208333333,4.82E-05,0.20880922,6.30E-05,0.214829819
021911ar, evenEpoch, GNB,0.24641349,0.000884877,0.21875,0.000301408,0.219303429,0.000309821,0.231759164
021911ar, evenEpoch, NN,0.163400723,0.008257523,0.229166667,0.00308642,0.182101609,0.00667327,0.190774883
021911ar, unfiltered, SVM (linear),0.407773419,0.004690117,0.378472222,0.002302758,0.370636764,0.002621612,0.392576833
021911ar, unfiltered, SVM (rbf),0.18142118,0.006572425,0.208333333,0.002507716,0.145848795,0.006026652,0.193948128
021911ar, unfiltered, GNB,0.26027809,0.01182682,0.246527778,0.006257234,0.229826599,0.006093333,0.253216402
021911ar, unfiltered, NN,0.243671728,0.01318424,0.28125,0.004906925,0.2368111,0.006975859,0.261115781
021911ar, unrolled, SVM (linear),0.375,0.057291667,0.5,0.055555556,0.413194444,0.057568962,0.428571429
021911ar, unrolled, SVM (rbf),0.11875,0.007979842,0.270833333,0.013454861,0.154563492,0.009719191,0.165106952
021911ar, unrolled, GNB,0.292361111,0.011779996,0.4375,0.006510417,0.329166667,0.009967207,0.350499524
021911ar, unrolled, NN,0.271527778,0.033423515,0.416666667,0.034722222,0.311805556,0.034463252,0.328792466
021911ar, cortex, SVM (linear),0.217248377,0.006412132,0.232638889,0.005196277,0.214040599,0.00490807,0.22468038
021911ar, cortex, SVM (rbf),0.092472718,0.005242417,0.163194444,0.0010489,0.074429011,0.001003668,0.118052187
021911ar, cortex, GNB,0.216832817,0.012049174,0.236111111,0.005787037,0.193962693,0.006457795,0.226061701
021911ar, cortex, NN,0.215270104,0.008218128,0.243055556,0.004195602,0.212854562,0.005412877,0.2283206
011513rm,1000, SVM (linear),0.411237975,0.008481044,0.413888889,0.005625,0.400382839,0.006406499,0.412559174
